Short_Code	Syrve_System_ID	Item_Name
RAW-FRESH_CARROT	12f4d802-500a-5271-be32-79eced36b236	Fresh Carrot
RAW-ONION	9fc4e397-066d-5b25-bce3-a51a5181f621	Onion
RAW-OLIVE_OIL	73e0beeb-d954-5de8-bf6f-325a60955075	Olive Oil EV
RAW-RAW_BEETROOT	4c4503e4-0306-5e57-a133-0fa88ed8f90b	Raw Beetroot
RAW-FRESH_POTATO	dd2d1db1-c885-5cc6-98f9-fbed2c9c0e46	Fresh Potato
RAW-LEMON_JUICE	eb0e18fd-c74e-571d-9eff-fda092d1b12c	Lemon Juice
RAW-GARLIC	499ab95f-d4c0-59dc-8503-2c57ae384307	Garlic
RAW-SHISHKA_MIX	37d45528-e62a-5a1c-ad28-2e1984eaa2a0	Shishka Mix Spices
RAW-RO_WATER	e3b389f5-9bef-5e96-8906-39403645d678	RO Water
RAW-ROOT_TRIMMINGS	fba320ea-1d4a-57f5-aa8b-0f9f0e594ff3	Root Trimmings
RAW-ONION_TRIMMINGS	630d49e6-0151-5695-ba37-1ef444638cab	Onion Trimmings
RAW-HERB_STEMS	e57007cc-491c-50af-8086-46bb52dedb56	Herb Stems
RAW-MUSHROOM_STEMS	87337a52-7058-5d49-9b70-de5b8151491d	Mushroom Stems
RAW-CABBAGE_CORES	77cb66fe-7746-546f-abff-333c08d74c82	Cabbage Cores
PF-VEGETABLE_BROTH	73b576fb-a8aa-534c-b49d-ff2e257613cb	SF Vegetable Broth Zero-Waste
PF-MIREPOIX_SAUTE	b71cdc15-88b0-5a41-827e-dc7f06478ad1	SF Mirepoix (Saute)
PF-BAKED_BEETROOT	e060a21c-76b4-5111-a7d3-a627b1f14326	SF Baked Beetroot
PF-BORSCH_BASE	f89e8881-c8e6-52b4-aae0-6a5d41cfe061	SF Borsch Base (Vacuum)
MOD-SOUSVIDE_CHICKEN	b211b581-75f9-5070-b65d-0b1862b62eef	Sous-vide Chicken
MOD-RED_BEANS	84720ded-1e2e-5c27-8b3f-028857742fb5	Red Beans
MOD-SOUR_CREAM	92093d52-b82b-52d9-a5c6-49ba61818687	Sour Cream
MOD-COCONUT_YOGURT	71b48ffa-70cd-527e-b671-9f714e6f960d	Coconut Yogurt
MOD-ANCIENT_CRUNCH	3413e0e7-e703-5f44-8755-8a27b698f2e5	Ancient Crunch
MOD-GREENS	5ada1f99-9930-5219-acfa-ef801638319d	Greens
MOD-ADDONS_PROTEIN	b04f8634-13b3-5bd1-a087-4fdbf6e81b66	Add-ons (Protein)
MOD-TOPPINGS	5e6b2eac-d6aa-5758-87f6-b74181d39343	Toppings
SALE-BORSCH_BIOACTIVE	ca21828c-7d23-5ac4-b4b3-1efa8017f9f6	Borsch Bio-Active (portion)
LOSS-PROCESSING_LOSS	LOSS-001	Processing Loss
